target,src,round,rule,true_hv_gain,recall,diversity
JAK2,analytic_pomhi,9,greedy_mean,0.0242767333984375,0.87,0.32754080271444175
JAK2,analytic_pomhi,9,analytic_ehvi,1.113067626953125,0.12,0.41859627206203137
JAK2,analytic_pomhi,9,analytic_pomhi,1.1147308349609375,0.11,0.3902680014198924
JAK2,analytic_pomhi,9,random,0.0,0.03,0.36005807351926034
JAK2,analytic_pomhi,10,greedy_mean,0.0848236083984375,0.89,0.35734851761605596
JAK2,analytic_pomhi,10,analytic_ehvi,0.3345794677734375,0.15,0.4416631437165958
JAK2,analytic_pomhi,10,analytic_pomhi,0.3269805908203125,0.09,0.438565772288397
JAK2,analytic_pomhi,10,random,0.0049896240234375,0.04,0.38531194016514353
KIT,analytic_ehvi,1,greedy_mean,22.135177612304688,0.92,0.20279188483092878
KIT,analytic_ehvi,1,analytic_ehvi,22.135177612304688,0.93,0.2042942587505956
KIT,analytic_ehvi,1,analytic_pomhi,22.142059326171875,0.83,0.22357074044958083
KIT,analytic_ehvi,1,random,6.84393310546875,0.03,0.3860165658314383
KIT,analytic_ehvi,2,greedy_mean,0.2939910888671875,0.55,0.3560561662634266
KIT,analytic_ehvi,2,analytic_ehvi,2.638824462890625,0.25,0.3453663573780258
KIT,analytic_ehvi,2,analytic_pomhi,5.0807952880859375,0.22,0.3558598128751387
KIT,analytic_ehvi,2,random,0.3267822265625,0.06,0.3987310523845798
KIT,analytic_ehvi,3,greedy_mean,0.38348388671875,0.91,0.3637898993824059
KIT,analytic_ehvi,3,analytic_ehvi,0.410675048828125,0.08,0.3611583904516429
KIT,analytic_ehvi,3,analytic_pomhi,0.284515380859375,0.06,0.3427103845748426
KIT,analytic_ehvi,3,random,0.36187744140625,0.05,0.36685405531245585
KIT,analytic_ehvi,4,greedy_mean,3.3273162841796875,0.92,0.32434655602189705
KIT,analytic_ehvi,4,analytic_ehvi,3.310699462890625,0.04,0.28890662430912356
KIT,analytic_ehvi,4,analytic_pomhi,3.284759521484375,0.03,0.276674035432393
KIT,analytic_ehvi,4,random,0.0,0.03,0.3688772693142506
KIT,analytic_ehvi,5,greedy_mean,0.115997314453125,0.87,0.37086217272850924
KIT,analytic_ehvi,5,analytic_ehvi,1.855438232421875,0.15,0.3579063614488142
KIT,analytic_ehvi,5,analytic_pomhi,1.826080322265625,0.12,0.3322301751871733
KIT,analytic_ehvi,5,random,0.0001373291015625,0.07,0.36277003024072424
KIT,analytic_ehvi,6,greedy_mean,0.0063323974609375,0.82,0.352755704589793
KIT,analytic_ehvi,6,analytic_ehvi,0.191436767578125,0.07,0.39102022097946426
KIT,analytic_ehvi,6,analytic_pomhi,0.1863555908203125,0.07,0.38716494880703684
KIT,analytic_ehvi,6,random,0.0,0.01,0.4111025771589142
KIT,analytic_ehvi,7,greedy_mean,0.0741729736328125,0.84,0.32875913458681505
KIT,analytic_ehvi,7,analytic_ehvi,2.74603271484375,0.19,0.3624770654201232
KIT,analytic_ehvi,7,analytic_pomhi,2.7364501953125,0.17,0.35293195560046114
KIT,analytic_ehvi,7,random,0.0,0.05,0.3801406314211157
KIT,analytic_ehvi,8,greedy_mean,0.0549163818359375,0.9,0.36223172992550995
KIT,analytic_ehvi,8,analytic_ehvi,0.1770782470703125,0.12,0.35300001390915153
KIT,analytic_ehvi,8,analytic_pomhi,0.177093505859375,0.12,0.3480876395684801
KIT,analytic_ehvi,8,random,0.0,0.05,0.3630089791439683
KIT,analytic_ehvi,9,greedy_mean,0.004058837890625,0.92,0.3533506482305859
KIT,analytic_ehvi,9,analytic_ehvi,0.45245361328125,0.1,0.3337927986660021
KIT,analytic_ehvi,9,analytic_pomhi,0.4524688720703125,0.1,0.33175151694294275
KIT,analytic_ehvi,9,random,0.0334320068359375,0.05,0.36496173070047
KIT,analytic_ehvi,10,greedy_mean,0.0,0.86,0.3462986401506598
KIT,analytic_ehvi,10,analytic_ehvi,3.185699462890625,0.09,0.37419356404536713
KIT,analytic_ehvi,10,analytic_pomhi,3.185699462890625,0.09,0.3665283641555427
KIT,analytic_ehvi,10,random,0.0,0.04,0.3574205289431452
KIT,analytic_pomhi,1,greedy_mean,22.135177612304688,0.92,0.20279188483092878
KIT,analytic_pomhi,1,analytic_ehvi,22.135162353515625,0.93,0.20421155742928043
KIT,analytic_pomhi,1,analytic_pomhi,22.37103271484375,0.82,0.22945511635790336
KIT,analytic_pomhi,1,random,6.84393310546875,0.03,0.3860165658314383
KIT,analytic_pomhi,2,greedy_mean,0.22308349609375,0.57,0.34925496040065274
KIT,analytic_pomhi,2,analytic_ehvi,5.00897216796875,0.24,0.38334989910702855
KIT,analytic_pomhi,2,analytic_pomhi,4.8385772705078125,0.19,0.3649374488877353
KIT,analytic_pomhi,2,random,0.2940521240234375,0.08,0.3987310523845798
KIT,analytic_pomhi,3,greedy_mean,0.2490081787109375,0.81,0.3644393217577618
KIT,analytic_pomhi,3,analytic_ehvi,0.393280029296875,0.13,0.37773984598044624
KIT,analytic_pomhi,3,analytic_pomhi,0.0669708251953125,0.05,0.3677346004548063
KIT,analytic_pomhi,3,random,0.1698150634765625,0.05,0.36685405531245585
KIT,analytic_pomhi,4,greedy_mean,0.071136474609375,0.87,0.3094839603312862
