target,method,round,recovery_mean,recovery_std,n_runs
JAK2,analytic_ehvi,2,0.9161783136044509,0.025483690789942177,3
JAK2,analytic_ehvi,3,0.9315065810814547,0.03659486244105341,3
JAK2,analytic_ehvi,4,0.9605460016184063,0.01231414593351871,3
JAK2,analytic_ehvi,5,0.9661578697163017,0.013171993336470612,3
JAK2,analytic_ehvi,6,0.9511924136615587,0.03813072945459866,3
JAK2,analytic_ehvi,7,0.9638245841608559,0.04424563951936071,3
JAK2,analytic_ehvi,8,0.9693163716480545,0.036626416204207035,3
JAK2,analytic_ehvi,9,0.9720648539017729,0.03565586667485371,3
JAK2,analytic_ehvi,10,0.9767639099718485,0.030038359631558792,3
JAK2,analytic_pomhi,0,0.0,0.0,3
JAK2,analytic_pomhi,1,0.8201493893774109,0.059905572184364965,3
JAK2,analytic_pomhi,2,0.8966810009478402,0.08715818908250536,3
JAK2,analytic_pomhi,3,0.9153594296060298,0.0917127904160477,3
JAK2,analytic_pomhi,4,0.9600886206754627,0.028049938053352815,3
JAK2,analytic_pomhi,5,0.9643291558643462,0.022736491886836015,3
JAK2,analytic_pomhi,6,0.9499005413178848,0.03285484695031555,3
JAK2,analytic_pomhi,7,0.9648300540501354,0.03698829988706161,3
JAK2,analytic_pomhi,8,0.9686044937337669,0.03395707604264116,3
JAK2,analytic_pomhi,9,0.9703479057373414,0.0351592896177597,3
JAK2,analytic_pomhi,10,0.9746791389349704,0.030573042521989,3
JAK2,qpmhi_mc_bnn,0,0.0,0.0,3
JAK2,qpmhi_mc_bnn,1,0.6301560557743452,0.01101978732306218,3
JAK2,qpmhi_mc_bnn,2,0.6045952339881016,0.09552251805522695,3
JAK2,qpmhi_mc_bnn,3,0.5935664265208147,0.07116424989521843,3
JAK2,qpmhi_mc_bnn,4,0.5340470743709337,0.043662934146849665,3
JAK2,qpmhi_mc_bnn,5,0.5026978655252791,0.02862595727482654,3
JAK2,qpmhi_mc_bnn,6,0.49321094683743133,0.04024789866871567,3
JAK2,qpmhi_mc_bnn,7,0.5034827063234001,0.036860008333711454,3
JAK2,qpmhi_mc_bnn,8,0.5254865982805096,0.042730053014461145,3
JAK2,qpmhi_mc_bnn,9,0.5500319678743829,0.060151045414676634,3
JAK2,qpmhi_mc_bnn,10,0.5439192107239882,0.05074117627288817,3
JAK2,random,0,0.0,0.0,3
JAK2,random,1,0.23543922656677815,0.09925682112139479,3
JAK2,random,2,0.30596884594534196,0.10657282498833628,3
JAK2,random,3,0.3761799549206381,0.10108107189832138,3
JAK2,random,4,0.3532755654499858,0.08020517764545904,3
JAK2,random,5,0.3952276273828459,0.046060489218405824,3
JAK2,random,6,0.3856586979275272,0.05561469479195304,3
JAK2,random,7,0.3874786419999751,0.052128410368877554,3
JAK2,random,8,0.3880261067666906,0.07254451003706044,3
JAK2,random,9,0.39403649045457706,0.0671947964683082,3
JAK2,random,10,0.41215205037643715,0.06385565770829804,3
KIT,analytic_ehvi,0,0.0,0.0,3
KIT,analytic_ehvi,1,0.8239163671921879,0.05734985320458913,3
KIT,analytic_ehvi,2,0.9186902900271283,0.03642602843431618,3
KIT,analytic_ehvi,3,0.9255456736905584,0.030042139785912608,3
KIT,analytic_ehvi,4,0.9450754124188903,0.027684917357726796,3
KIT,analytic_ehvi,5,0.9462926483233228,0.02847634366179189,3
KIT,analytic_ehvi,6,0.9479799339125158,0.02734159955415758,3
KIT,analytic_ehvi,7,0.9613992674691739,0.024650037511028434,3
KIT,analytic_ehvi,8,0.9704380177739451,0.02049298294276412,3
KIT,analytic_ehvi,9,0.9766414943551731,0.015325555855261758,3
KIT,analytic_ehvi,10,0.9904700427294718,0.00802177370221777,3
KIT,analytic_pomhi,0,0.0,0.0,3
KIT,analytic_pomhi,1,0.8273129062109089,0.06262068388590337,3
KIT,analytic_pomhi,2,0.9333153372300425,0.046200474209738204,3
KIT,analytic_pomhi,3,0.9442595366807217,0.038576116919694654,3
KIT,analytic_pomhi,4,0.9544138164331235,0.02209521221090563,3
KIT,analytic_pomhi,5,0.945314703101682,0.012467323282734316,3
KIT,analytic_pomhi,6,0.946340521959027,0.01089271607847746,3
KIT,analytic_pomhi,7,0.95525687931704,0.016203922831344704,3
KIT,analytic_pomhi,8,0.9647677670938882,0.008797294355794615,3
KIT,analytic_pomhi,9,0.9697495115149386,0.00702526528165012,3
KIT,analytic_pomhi,10,0.9837609774368716,0.011969396761373319,3
KIT,qpmhi_mc_bnn,0,0.0,0.0,3
KIT,qpmhi_mc_bnn,1,0.7142341284388397,0.14852187678041753,3
KIT,qpmhi_mc_bnn,2,0.6505321677091357,0.1070041544506293,3
KIT,qpmhi_mc_bnn,3,0.5940082222004702,0.10278401399075628,3
KIT,qpmhi_mc_bnn,4,0.5994869044857678,0.09195125804130995,3
KIT,qpmhi_mc_bnn,5,0.6029050397285965,0.07459105364284596,3
KIT,qpmhi_mc_bnn,6,0.5961318179006966,0.06296345249618404,3
KIT,qpmhi_mc_bnn,7,0.5987230955897832,0.06688276943602763,3
KIT,qpmhi_mc_bnn,8,0.5994815818751192,0.07115922247843226,3
KIT,qpmhi_mc_bnn,9,0.597746103108932,0.07140832344001648,3
KIT,qpmhi_mc_bnn,10,0.5937433562232277,0.06983966527707357,3
KIT,random,0,0.0,0.0,3
KIT,random,1,0.532887802284214,0.2145115906094245,3
KIT,random,2,0.5851875311181108,0.14823469573377557,3
KIT,random,3,0.5567616563825128,0.09490485457324511,3
KIT,random,4,0.6045606262096614,0.12048338139957926,3
KIT,random,5,0.6216559170159038,0.11134575542291072,3
KIT,random,6,0.6053701735024222,0.1106989621835419,3
KIT,random,7,0.5971854753236416,0.07040988130045715,3
KIT,random,8,0.6048905071307983,0.0653710941775951,3
KIT,random,9,0.6055693096426457,0.06226744465833173,3
KIT,random,10,0.6024572899985431,0.06470550197168334,3
PARP1,analytic_ehvi,0,0.0,0.0,3
PARP1,analytic_ehvi,1,0.6579273607372133,0.14838164895271147,3
PARP1,analytic_ehvi,2,0.8883892836608968,0.09047650096638374,3
PARP1,analytic_ehvi,3,0.9363170791328731,0.06219755072760236,3
PARP1,analytic_ehvi,4,0.9410683716099076,0.05874953687974429,3
PARP1,analytic_ehvi,5,0.9540670235733896,0.05683949499778233,3
PARP1,analytic_ehvi,6,0.9556737346853256,0.055205968056839354,3
PARP1,analytic_ehvi,7,0.9541496844391677,0.04129505003787399,3
PARP1,analytic_ehvi,8,0.9573040146425235,0.04021335340092646,3
PARP1,analytic_ehvi,9,0.9625440489419352,0.035249685318287004,3
PARP1,analytic_ehvi,10,0.9680562669330119,0.029946385448458054,3
PARP1,analytic_pomhi,0,0.0,0.0,3
PARP1,analytic_pomhi,1,0.7434443197748242,0.10731972011721942,3
PARP1,analytic_pomhi,2,0.8832954893308441,0.08445863449388687,3
PARP1,analytic_pomhi,3,0.9209464540133147,0.05964757423124633,3
PARP1,analytic_pomhi,4,0.9292399361473559,0.05662076485256388,3
PARP1,analytic_pomhi,5,0.9462146314406623,0.05165651082686543,3
PARP1,analytic_pomhi,6,0.9490504279117443,0.05134152022817382,3
PARP1,analytic_pomhi,7,0.9483650437801453,0.037500305380178615,3
PARP1,analytic_pomhi,8,0.9524756870845162,0.03738784319708749,3
PARP1,analytic_pomhi,9,0.9548857576618984,0.03803507169252548,3
PARP1,analytic_pomhi,10,0.9576530779583695,0.038266381884453665,3
PARP1,qpmhi_mc_bnn,0,0.0,0.0,3
PARP1,qpmhi_mc_bnn,1,0.7127623895671077,0.05106018981120963,3
PARP1,qpmhi_mc_bnn,2,0.688011851446987,0.01881893914390134,3
PARP1,qpmhi_mc_bnn,3,0.7177587961057051,0.03287296809225062,3
PARP1,qpmhi_mc_bnn,4,0.7211164208278374,0.040289784625932995,3
PARP1,qpmhi_mc_bnn,5,0.7621884716797017,0.07067751134963794,3
PARP1,qpmhi_mc_bnn,6,0.7694379127784022,0.05546684634279628,3
PARP1,qpmhi_mc_bnn,7,0.7778920162110429,0.06408183051675231,3
PARP1,qpmhi_mc_bnn,8,0.7763990980416184,0.06781839005108167,3
PARP1,qpmhi_mc_bnn,9,0.7771195409473868,0.07165019252156567,3
PARP1,qpmhi_mc_bnn,10,0.7756384259729394,0.0742962172417245,3
PARP1,random,0,0.0,0.0,3
