target,seed,method,round,hv,base_hv,upper_hv,recovery
F2,42,random,0,170.15879821777344,170.15879821777344,170.15879821777344,0.0
F2,42,random,1,172.73887634277344,170.15879821777344,183.9816131591797,0.18665359667598344
F2,42,random,2,173.12869262695312,170.15879821777344,191.3467254638672,0.14016918100033704
F2,42,random,3,176.08413696289062,170.15879821777344,194.61181640625,0.2423152307599187
F2,42,random,4,178.40432739257812,170.15879821777344,194.97666931152344,0.33224159895331223
F2,42,random,5,180.19650268554688,170.15879821777344,195.2117919921875,0.4006588816552803
F2,42,random,6,180.60618591308597,170.15879821777344,195.44483947753906,0.4131681819224147
F2,42,random,7,181.9764404296875,170.15879821777344,195.55221557617188,0.4653821124239341
F2,42,random,8,182.8482208251953,170.15879821777344,197.26260375976562,0.4681786322500739
F2,42,random,9,182.99801635742188,170.15879821777344,197.39283752441406,0.4714400972652551
F2,42,random,10,186.6137542724609,170.15879821777344,198.6370849609375,0.5778070922274609
F2,43,random,0,180.01705932617188,180.01705932617188,180.01705932617188,0.0
F2,43,random,1,181.91033935546875,180.01705932617188,185.8894805908203,0.322401943589144
F2,43,random,2,183.15933227539065,180.01705932617188,190.2013702392578,0.3085405557661477
F2,43,random,3,183.31105041503903,180.01705932617188,190.69180297851562,0.3085780039452216
F2,43,random,4,183.39935302734372,180.01705932617188,191.50103759765625,0.2945228231204816
F2,43,random,5,183.8629150390625,180.01705932617188,193.18820190429688,0.2919910471000389
F2,43,random,6,183.93795776367188,180.01705932617188,194.88572692871094,0.26370207084530184
F2,43,random,7,184.0409240722656,180.01705932617188,197.031005859375,0.23650390215115893
F2,43,random,8,184.8308868408203,180.01705932617188,197.09591674804688,0.2818588735615753
F2,43,random,9,184.97036743164065,180.01705932617188,198.34080505371094,0.2703218096955127
F2,43,random,10,188.1273498535156,180.01705932617188,198.602294921875,0.4363835198956965
F2,44,random,0,172.4484405517578,172.4484405517578,172.4484405517578,0.0
F2,44,random,1,175.6213836669922,172.4484405517578,191.86358642578125,0.16342617953129188
F2,44,random,2,176.33547973632812,172.4484405517578,193.80816650390625,0.18197982470741111
F2,44,random,3,177.7822723388672,172.4484405517578,193.97239685058594,0.2478090790121041
F2,44,random,4,180.48301696777344,172.4484405517578,194.3865509033203,0.36623830800647683
F2,44,random,5,181.3443756103516,172.4484405517578,194.8979034423828,0.3962649396974554
F2,44,random,6,181.6102294921875,172.4484405517578,195.26478576660156,0.4015449825184646
F2,44,random,7,181.95167541503903,172.4484405517578,195.60513305664062,0.4103882651323099
F2,44,random,8,182.1950836181641,172.4484405517578,197.1929931640625,0.39389045415836615
F2,44,random,9,182.77427673339844,172.4484405517578,197.9689178466797,0.4046098379082935
F2,44,random,10,182.8569183349609,172.4484405517578,198.08934020996094,0.40593262802591173
JAK2,42,analytic_ehvi,0,173.16220092773438,173.16220092773438,173.16220092773438,0.0
JAK2,42,analytic_ehvi,1,196.16375732421875,173.16220092773438,201.4697265625,0.81255976567006
JAK2,42,analytic_ehvi,2,200.45068359375,173.16220092773438,202.075927734375,0.9437898769849438
