record_id,input_smiles,source_name
CHEMBL266349,N=C(N)c1ccc(CNC(=O)[C@@H]2CCN2C(=O)[C@H](NCC(=O)O)C2CCCCC2)cc1,ChEMBL max_phase=4 local paged JSON
CHEMBL452,O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1,ChEMBL max_phase=4 local paged JSON
CHEMBL453,Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C,ChEMBL max_phase=4 local paged JSON
CHEMBL268869,COc1ccc(NS(=O)(=O)c2ccc(N)cc2)nn1,ChEMBL max_phase=4 local paged JSON
CHEMBL454,C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O,ChEMBL max_phase=4 local paged JSON
CHEMBL455,CC(=O)NS(=O)(=O)c1ccc(N)cc1,ChEMBL max_phase=4 local paged JSON
CHEMBL43,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12,ChEMBL max_phase=4 local paged JSON
CHEMBL456,C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,ChEMBL max_phase=4 local paged JSON
CHEMBL267744,O=C(O)COc1ccc(C(=O)c2cccs2)c(Cl)c1Cl,ChEMBL max_phase=4 local paged JSON
CHEMBL457,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,ChEMBL max_phase=4 local paged JSON
CHEMBL45,COc1ccc2[nH]cc(CCNC(C)=O)c2c1,ChEMBL max_phase=4 local paged JSON
CHEMBL46,Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O,ChEMBL max_phase=4 local paged JSON
CHEMBL49,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,ChEMBL max_phase=4 local paged JSON
CHEMBL459,C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O,ChEMBL max_phase=4 local paged JSON
CHEMBL460,CCc1c(C)[nH]c2c1C(=O)C(CN1CCOCC1)CC2,ChEMBL max_phase=4 local paged JSON
CHEMBL53,CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,ChEMBL max_phase=4 local paged JSON
CHEMBL54,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,ChEMBL max_phase=4 local paged JSON
CHEMBL55,N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1,ChEMBL max_phase=4 local paged JSON
CHEMBL463,Nc1ccc(C(=O)NCC(=O)O)cc1,ChEMBL max_phase=4 local paged JSON
CHEMBL464,CCOC(=O)/C=C(C)/C=C/C=C(C)/C=C/c1c(C)cc(OC)c(C)c1C,ChEMBL max_phase=4 local paged JSON
CHEMBL57,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,ChEMBL max_phase=4 local paged JSON
CHEMBL465,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21,ChEMBL max_phase=4 local paged JSON
CHEMBL58,O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21,ChEMBL max_phase=4 local paged JSON
CHEMBL59,NCCc1ccc(O)c(O)c1,ChEMBL max_phase=4 local paged JSON
CHEMBL467,NC(=O)NO,ChEMBL max_phase=4 local paged JSON
CHEMBL61,COc1cc([C@@H]2c3cc4c(cc3[C@H](O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1OC,ChEMBL max_phase=4 local paged JSON
CHEMBL64,NNC(=O)c1ccncc1,ChEMBL max_phase=4 local paged JSON
CHEMBL468,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,ChEMBL max_phase=4 local paged JSON
CHEMBL469,O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O,ChEMBL max_phase=4 local paged JSON
CHEMBL471,CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1,ChEMBL max_phase=4 local paged JSON
CHEMBL472,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,ChEMBL max_phase=4 local paged JSON
CHEMBL9225,CC[C@H](c1ccc(O)cc1)[C@@H](CC)c1ccc(O)cc1,ChEMBL max_phase=4 local paged JSON
CHEMBL473,CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1,ChEMBL max_phase=4 local paged JSON
CHEMBL476,CN(C)/N=N/c1[nH]cnc1C(N)=O,ChEMBL max_phase=4 local paged JSON
CHEMBL477,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,ChEMBL max_phase=4 local paged JSON
CHEMBL479,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2,ChEMBL max_phase=4 local paged JSON
CHEMBL480,Cc1c(OCC(F)(F)F)ccnc1C[S+]([O-])c1nc2ccccc2[nH]1,ChEMBL max_phase=4 local paged JSON
CHEMBL481,CCc1c2c(nc3ccc(OC(=O)N4CCC(N5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC,ChEMBL max_phase=4 local paged JSON
CHEMBL70,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,ChEMBL max_phase=4 local paged JSON
CHEMBL485,COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341,ChEMBL max_phase=4 local paged JSON
CHEMBL71,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,ChEMBL max_phase=4 local paged JSON
CHEMBL72,CNCCCN1c2ccccc2CCc2ccccc21,ChEMBL max_phase=4 local paged JSON
CHEMBL488,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,ChEMBL max_phase=4 local paged JSON
CHEMBL74,O=C([O-])c1cc(=O)c2c(OCC(O)COc3cccc4oc(C(=O)[O-])cc(=O)c34)cccc2o1.[Na+].[Na+],ChEMBL max_phase=4 local paged JSON
CHEMBL76,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,ChEMBL max_phase=4 local paged JSON
CHEMBL490,Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1,ChEMBL max_phase=4 local paged JSON
CHEMBL416146,Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1,ChEMBL max_phase=4 local paged JSON
CHEMBL79,CCN(CC)CC(=O)Nc1c(C)cccc1C,ChEMBL max_phase=4 local paged JSON
CHEMBL492,CCCN(CC)C(CC)C(=O)Nc1c(C)cccc1C,ChEMBL max_phase=4 local paged JSON
CHEMBL80,C=CCN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5,ChEMBL max_phase=4 local paged JSON
CHEMBL81,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,ChEMBL max_phase=4 local paged JSON
CHEMBL83,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,ChEMBL max_phase=4 local paged JSON
