seed,target,method,round,candidate_n,selected_n,init_pool_n,hv,best_dock,mean_selected_dock,threshold_rate,train_seconds,score_seconds,labeled_n,unlabeled_n,candidate_test_n,candidate_test_rmse,candidate_test_mae,candidate_test_r2,candidate_test_nll,candidate_test_spearman,candidate_test_kendall,candidate_test_cov1,candidate_test_cov2,candidate_test_mean_std,candidate_test_std_error_spearman,source_path,greedy_final_hv,greedy_round_hv,delta_vs_greedy_final_hv,delta_vs_greedy_round_hv
43,ESR2,random,10,2000,100,500,181.3195343017578,-11.5,-7.832000000000001,0.0,196.93593952804804,3.382834665477276,1500,239651,2000,0.7175092420059528,0.5575007280349731,0.398080235922142,1.0398790213335596,0.6152565174060609,0.451139780788092,0.692,0.955,0.7045624621063471,0.2607046791761698,runs/dockstring_full_nig/seed43/ESR2/random/trajectory.csv,187.72463989257807,187.72463989257807,-6.405105590820256,-6.405105590820256
43,F2,greedy_mean,10,2000,100,500,195.29595947265625,-12.2,-9.759,0.04,283.32919877767563,8.046774189919233,1500,239650,1999,0.5181521846820076,0.4123118547513045,0.6996857253264961,0.7533544562532295,0.8301968036238477,0.6504328093785053,0.6768384192096047,0.9564782391195598,0.5198139285164634,0.103651109338453,runs/dockstring_full_nig/seed43/F2/greedy_mean/trajectory.csv,195.29595947265625,195.29595947265625,0.0,0.0
43,F2,analytic_ehvi,10,2000,100,500,196.21575927734372,-12.2,-9.44,0.04,274.8306766301393,3.3167672008275986,1500,239650,1999,0.506555408673339,0.3999987482487886,0.7129779762752458,0.7361649889054726,0.828685474133374,0.649627484789728,0.6823411705852926,0.9554777388694348,0.5087591875577462,0.0580938082307976,runs/dockstring_full_nig/seed43/F2/analytic_ehvi/trajectory.csv,195.29595947265625,195.29595947265625,0.9197998046874716,0.9197998046874716
43,F2,analytic_pomhi,10,2000,100,500,196.69351196289065,-12.2,-9.418,0.07,238.42911532893777,17.27757042273879,1500,239650,1999,0.5211074840951269,0.4114831232678717,0.6962502497154499,0.7652581471825651,0.8216442378442518,0.6412376701659885,0.6918459229614807,0.9574787393696848,0.5277199647675878,0.0795275393250407,runs/dockstring_full_nig/seed43/F2/analytic_pomhi/trajectory.csv,195.29595947265625,195.29595947265625,1.3975524902344034,1.3975524902344034
43,F2,qnehvi_mc,10,2000,100,500,196.5191650390625,-12.2,-9.248,0.04,280.9193342961371,11.049096670001743,1500,239650,1999,0.5064113175210212,0.3999671350663277,0.7131412415422802,0.7304947841743451,0.8303461525413696,0.651469279233667,0.7003501750875438,0.9609804902451226,0.5264222311818522,0.1190543418248571,runs/dockstring_full_nig/seed43/F2/qnehvi_mc/trajectory.csv,195.29595947265625,195.29595947265625,1.22320556640625,1.22320556640625
43,F2,qnparego_mc,10,2000,100,500,193.976318359375,-12.2,-9.364,0.02,281.7533849515021,3.246489442884922,1500,239650,1999,0.4989407074053988,0.3938894354861757,0.7215423296045603,0.7175652063026394,0.8372120591284662,0.6593988198817842,0.7153576788394197,0.9564782391195598,0.517898081853546,0.1151107595839962,runs/dockstring_full_nig/seed43/F2/qnparego_mc/trajectory.csv,195.29595947265625,195.29595947265625,-1.31964111328125,-1.31964111328125
43,F2,random,10,2000,100,500,182.54568481445312,-12.0,-8.232999999999999,0.0,150.2288958504796,3.3054853938519955,1500,239650,1999,0.4998643183509195,0.3960173486172407,0.7205104450817977,0.7122245153818552,0.83232354713332,0.6548129426030554,0.7133566783391696,0.9659829914957478,0.5293699206710756,0.1510339689364201,runs/dockstring_full_nig/seed43/F2/random/trajectory.csv,195.29595947265625,195.29595947265625,-12.750274658203125,-12.750274658203125
43,JAK2,greedy_mean,10,2000,100,500,210.93438720703125,-12.9,-9.898,0.05,277.6571187786758,7.65241265296936,1500,239653,1998,0.6112936063381754,0.442273784184957,0.6102520454230824,0.844772668797048,0.7853700424627275,0.6133171016847812,0.6976976976976977,0.9474474474474476,0.5518728298199428,0.1710185981858083,runs/dockstring_full_nig/seed43/JAK2/greedy_mean/trajectory.csv,210.93438720703125,210.93438720703125,0.0,0.0
43,JAK2,analytic_ehvi,10,2000,100,500,209.41123962402344,-12.5,-9.462,0.14,268.96313420310616,3.1110144443809986,1500,239653,1998,0.5684817596235551,0.4277948300759713,0.6629322464234815,0.8049241351732308,0.8068201049408397,0.6318987868784575,0.7272272272272272,0.961961961961962,0.5717829924535465,0.1433474034161549,runs/dockstring_full_nig/seed43/JAK2/analytic_ehvi/trajectory.csv,210.93438720703125,210.93438720703125,-1.5231475830078125,-1.5231475830078125
43,JAK2,analytic_pomhi,10,2000,100,500,209.41192626953125,-12.5,-9.423,0.15,270.6491283103824,18.14394801110029,1500,239653,1998,0.5852792725894973,0.4388961185325493,0.6427185848829083,0.8291628393869419,0.7926570958305805,0.6178972167509067,0.7427427427427428,0.960960960960961,0.6048548111805806,0.170956506266625,runs/dockstring_full_nig/seed43/JAK2/analytic_pomhi/trajectory.csv,210.93438720703125,210.93438720703125,-1.5224609375,-1.5224609375
43,JAK2,qnehvi_mc,10,2000,100,500,211.63124084472656,-12.9,-9.457,0.17,267.14247541874647,11.032924495637417,1500,239653,1998,0.5948209410898828,0.4431190231063582,0.6309742790841213,0.8538991344203334,0.7814186073473112,0.6064984801590905,0.7657657657657657,0.968968968968969,0.6511422622281391,0.1842820408734309,runs/dockstring_full_nig/seed43/JAK2/qnehvi_mc/trajectory.csv,210.93438720703125,210.93438720703125,0.6968536376953125,0.6968536376953125
43,JAK2,qnparego_mc,10,2000,100,500,210.54254150390625,-12.9,-9.839999999999998,0.1,264.4871639125049,3.1849347427487373,1500,239653,1998,0.5807789969458789,0.426845456697084,0.6481918124581623,0.7969363255859175,0.7971925269234276,0.6258879908362738,0.6986986986986987,0.9469469469469468,0.5422855343844917,0.2026964383017221,runs/dockstring_full_nig/seed43/JAK2/qnparego_mc/trajectory.csv,210.93438720703125,210.93438720703125,-0.391845703125,-0.391845703125
43,JAK2,random,10,2000,100,500,201.29806518554688,-12.3,-8.517999999999999,0.03,264.1306457333267,3.159443937242031,1500,239653,1998,0.5711945276606161,0.4210604133071365,0.6597076281571777,0.7641734971622755,0.7983355863901787,0.6280240085613943,0.7197197197197197,0.9604604604604604,0.5562879444511087,0.2527052788365217,runs/dockstring_full_nig/seed43/JAK2/random/trajectory.csv,210.93438720703125,210.93438720703125,-9.636322021484375,-9.636322021484375
43,KIT,greedy_mean,10,2000,100,500,197.22967529296875,-12.1,-9.735,0.01,284.1122960187495,7.845710638910532,1500,239650,2000,0.7170240909686705,0.5604930982112885,0.5511996482325434,1.0719692949532464,0.7622629184825485,0.5751583984245264,0.679,0.9465,0.6942580398768187,0.1592485508718559,runs/dockstring_full_nig/seed43/KIT/greedy_mean/trajectory.csv,197.22967529296875,197.22967529296875,0.0,0.0
43,KIT,analytic_ehvi,10,2000,100,500,201.152099609375,-12.1,-9.397,0.03,268.79250555485487,3.1521912775933743,1500,239650,2000,0.6519709967196483,0.5115444841861726,0.6289416182867984,0.9808474745744404,0.7903078959775635,0.6043688996222218,0.7065,0.962,0.6729550194442272,0.1434428070758659,runs/dockstring_full_nig/seed43/KIT/analytic_ehvi/trajectory.csv,197.22967529296875,197.22967529296875,3.92242431640625,3.92242431640625
43,KIT,analytic_pomhi,10,2000,100,500,200.1032257080078,-12.1,-9.258,0.03,270.57442108541727,17.23251348733902,1500,239650,2000,0.7311758240687802,0.5723161590576171,0.533309092122064,1.1011175278724772,0.7316302484259418,0.5458295446497785,0.7015,0.9505,0.7338913756608964,0.1349602672400668,runs/dockstring_full_nig/seed43/KIT/analytic_pomhi/trajectory.csv,197.22967529296875,197.22967529296875,2.8735504150390625,2.8735504150390625
43,KIT,qnehvi_mc,10,2000,100,500,201.24807739257807,-12.1,-9.214999999999998,0.06,275.3262069821358,9.48079752177,1500,239650,2000,0.6984228070046881,0.5424000265598297,0.5741834674578963,1.0450659035103966,0.7761248560893388,0.5874858323478805,0.7075,0.9555,0.709297254472971,0.1448466677659844,runs/dockstring_full_nig/seed43/KIT/qnehvi_mc/trajectory.csv,197.22967529296875,197.22967529296875,4.018402099609318,4.018402099609318
43,KIT,qnparego_mc,10,2000,100,500,199.88619995117188,-12.1,-8.966000000000001,0.05,260.2630762457848,3.1996820122003555,1500,239650,2000,0.7412506500271872,0.5684788987636566,0.520359476924383,1.0921984649559149,0.7448990724720003,0.5593731583254187,0.7405,0.9665,0.7928463754206896,0.1858258739564685,runs/dockstring_full_nig/seed43/KIT/qnparego_mc/trajectory.csv,197.22967529296875,197.22967529296875,2.656524658203125,2.656524658203125
43,KIT,random,10,2000,100,500,192.6026306152344,-12.1,-8.3,0.03,267.3708491176367,3.208651714026928,1500,239650,2000,0.6513656709624801,0.5116175868034362,0.6296303204723112,0.9663302938631734,0.7861730223485868,0.6013566038077441,0.7045,0.9625,0.6684691413342952,0.1829707290612963,runs/dockstring_full_nig/seed43/KIT/random/trajectory.csv,197.22967529296875,197.22967529296875,-4.627044677734347,-4.627044677734347
43,PARP1,greedy_mean,10,2000,100,500,221.1724395751953,-13.4,-10.996999999999998,0.15,289.01766857877374,7.973671186715364,1500,239649,1998,0.5543345847067117,0.4366400689095467,0.7683048319947638,0.8218343538141781,0.8671070827014697,0.692437716423587,0.6616616616616616,0.93993993993994,0.5300576875845829,0.1009009732678026,runs/dockstring_full_nig/seed43/PARP1/greedy_mean/trajectory.csv,221.1724395751953,221.1724395751953,0.0,0.0
43,PARP1,analytic_ehvi,10,2000,100,500,222.0508270263672,-13.4,-10.778000000000002,0.27,280.54677114263177,3.2971634678542614,1500,239649,1998,0.5707164610562763,0.4498135764319617,0.7544082210774551,0.8562489269954744,0.8586083169074226,0.6817663287561022,0.6971971971971972,0.9494494494494494,0.574188435877169,0.0667720962405756,runs/dockstring_full_nig/seed43/PARP1/analytic_ehvi/trajectory.csv,221.1724395751953,221.1724395751953,0.878387451171875,0.878387451171875
43,PARP1,analytic_pomhi,10,2000,100,500,225.74771118164065,-13.7,-10.718000000000002,0.28,281.120222017169,16.68529189005494,1500,239649,1998,0.5785757972033027,0.4545065413485538,0.7475975583769203,0.8790180038078428,0.8584428973086867,0.6819656310150343,0.6431431431431431,0.931931931931932,0.5376404933892451,0.090894362446012,runs/dockstring_full_nig/seed43/PARP1/analytic_pomhi/trajectory.csv,221.1724395751953,221.1724395751953,4.575271606445341,4.575271606445341
43,PARP1,qnehvi_mc,10,2000,100,500,222.0214385986328,-13.4,-10.642000000000005,0.31,279.1634916514158,11.748987328261135,1500,239649,1998,0.5592463078999469,0.4388875302609739,0.7641807368038454,0.8207692195013488,0.870295459652132,0.6976879709537377,0.6741741741741741,0.9444444444444444,0.5448758933875892,0.1271311812784351,runs/dockstring_full_nig/seed43/PARP1/qnehvi_mc/trajectory.csv,221.1724395751953,221.1724395751953,0.8489990234375,0.8489990234375
