target,method,round,hv_mean,hv_sd,delta_vs_greedy_round_hv_mean,threshold_rate_mean,mean_selected_dock_mean,candidate_test_spearman_mean,candidate_test_cov2_mean,train_seconds_mean,score_seconds_mean
ESR2,qnehvi_mc,3,186.927490234375,1.144642326257024,3.8523986816406532,0.02,-8.5736,0.5250626422823255,0.9636335423569466,135.03718923665582,6.263599453121424
ESR2,qnehvi_mc,4,188.3599578857422,1.6852046579851758,4.040896606445335,0.016,-8.5262,0.5375896016776076,0.9513201793296396,153.40818759799004,7.477317519113422
ESR2,qnehvi_mc,5,189.07050476074218,1.8205173982560374,3.4247406005859546,0.002,-8.4744,0.5380582191210913,0.9462238872600859,177.52919324971737,7.770490185543895
ESR2,qnehvi_mc,6,191.53966064453124,1.6463302345713406,5.073022460937511,0.024,-8.5006,0.5434602315722444,0.9543599254936156,199.44289035871626,8.596167126297951
ESR2,qnehvi_mc,7,192.86825256347657,1.5685794358835827,5.012213134765631,0.008,-8.542200000000001,0.553000560867675,0.9480604891097613,223.83049834147096,9.168568244948982
ESR2,qnehvi_mc,8,193.13768005371094,1.6999425447506284,5.013485717773415,0.012,-8.516200000000001,0.5649764251886713,0.9335619487288993,225.1792577739805,9.556698868796229
ESR2,qnehvi_mc,9,193.8320251464844,1.8015597318105732,5.359225463867216,0.012,-8.5458,0.5608864068581072,0.951074295042258,227.78691500984132,9.734254650771618
ESR2,qnehvi_mc,10,194.09569702148437,1.69876803689375,5.38163146972658,0.014000000000000002,-8.5856,0.5739705366434266,0.9392963562753035,273.2252140369266,10.253870411589741
ESR2,qnparego_mc,1,175.87433166503905,4.499396527769769,0.4152404785156193,0.016,-8.244399999999999,0.48024307588051823,0.9717760359996047,97.14217934198678,3.228241007402539
ESR2,qnparego_mc,2,181.3959991455078,1.7453833776989713,1.8037506103515568,0.008,-8.2058,0.5023627615609175,0.9603494999805896,109.37693856358528,3.3648137848824264
ESR2,qnparego_mc,3,182.7384307861328,2.0106660247361963,-0.3366607666015625,0.013999999999999999,-8.2304,0.5166343217483147,0.9550057656440636,145.3965253084898,3.2878197867423298
ESR2,qnparego_mc,4,184.24983825683594,1.1374294810325885,-0.06922302246092045,0.012,-8.193,0.5237906357601064,0.9559894539750635,141.7816454127431,3.465892931446433
ESR2,qnparego_mc,5,185.79005126953126,2.047121757296373,0.14428710937502842,0.01,-8.335400000000002,0.5315397425933422,0.9446034840204913,138.40313910059632,3.3708345662802457
ESR2,qnparego_mc,6,188.28566894531247,3.0753709345603704,1.819030761718733,0.02,-8.358799999999999,0.5559066027510893,0.9405690936473299,198.95921691060067,3.420428582653403
ESR2,qnparego_mc,7,189.11309509277345,3.321122208949296,1.2570556640625057,0.026000000000000002,-8.4208,0.5591894094166217,0.9400309633877383,217.0356810543686,3.288663345202804
