method,metric,iter,mean,sd
Independent-marginal PoMHI,calgap,6,0.07534779871340676,0.046555624280008805
Independent-marginal PoMHI,calgap,7,0.05942625920635276,0.034825100390378824
Independent-marginal PoMHI,calgap,8,0.0656024212104639,0.04610121256435432
Independent-marginal PoMHI,calgap,9,0.07168321796269224,0.035585057612771864
Independent-marginal PoMHI,calgap,10,0.07098956008246426,0.019517180932851444
JANUS,spearman,1,0.8770840920054754,0.020280000997563195
JANUS,spearman,2,0.879145622532574,0.018497968228360355
JANUS,spearman,3,0.8762555133373635,0.02140445249820684
JANUS,spearman,4,0.8756173289465268,0.020260060533286117
JANUS,spearman,5,0.8800474408206437,0.01745367952004707
JANUS,spearman,6,0.8777778860621701,0.016333163905313135
JANUS,spearman,7,0.8789301439800884,0.017514409564439844
JANUS,spearman,8,0.8796029538111082,0.0171037246303375
JANUS,spearman,9,0.8806587922683378,0.015038907798523599
JANUS,spearman,10,0.8816031398643178,0.013986019661499646
JANUS,rmse,1,0.685405867437104,0.09189866113410179
JANUS,rmse,2,0.6736574956292067,0.07908410291439213
JANUS,rmse,3,0.6848315386280455,0.09715592537114573
JANUS,rmse,4,0.6822065607133007,0.08879739237375771
JANUS,rmse,5,0.6618595394126567,0.0735152233676889
JANUS,rmse,6,0.666794285204917,0.06354901013073909
JANUS,rmse,7,0.6579135093003711,0.06654133574904338
JANUS,rmse,8,0.651841291598369,0.05759907953572537
JANUS,rmse,9,0.6477546230192222,0.053535362988130095
JANUS,rmse,10,0.643624406797527,0.04964229619828654
JANUS,calgap,1,0.08786875154353205,0.053042530471156125
JANUS,calgap,2,0.08994689255880835,0.05320591696674496
JANUS,calgap,3,0.08413937035905981,0.060614329201541695
JANUS,calgap,4,0.07769383810894179,0.05319874019386128
JANUS,calgap,5,0.08317801919249204,0.05441265516870082
JANUS,calgap,6,0.09233806270521726,0.04670817765576364
JANUS,calgap,7,0.08993101008675244,0.05357823782515922
JANUS,calgap,8,0.08296552617097602,0.055481776345221175
JANUS,calgap,9,0.08633079726287508,0.05292633680117983
JANUS,calgap,10,0.08718682753584239,0.05011823697318451
GraphGA,spearman,1,0.8770840920054754,0.020280000997563195
GraphGA,spearman,2,0.8828695770353887,0.013604438908325512
GraphGA,spearman,3,0.8819899739966255,0.015003321597722904
GraphGA,spearman,4,0.8835361578323914,0.012564939785872165
GraphGA,spearman,5,0.8810672436317338,0.012403917470787581
GraphGA,spearman,6,0.8825134489814079,0.012141224940185807
GraphGA,spearman,7,0.8833999894531133,0.012938894417503977
GraphGA,spearman,8,0.8843432882475843,0.013829033414293788
GraphGA,spearman,9,0.8843460748299075,0.01358145894693252
GraphGA,spearman,10,0.8829721385054509,0.013325305802307737
GraphGA,rmse,1,0.6854058742613246,0.09189866245068434
GraphGA,rmse,2,0.6505486000183307,0.05509994300713353
GraphGA,rmse,3,0.6453670693139651,0.05877640388517988
GraphGA,rmse,4,0.6395281437139453,0.04639158334109431
GraphGA,rmse,5,0.6423768244361939,0.04947468189841165
GraphGA,rmse,6,0.639353961176839,0.0400966220692299
GraphGA,rmse,7,0.6337877984486272,0.04330090138712219
GraphGA,rmse,8,0.6337284635675007,0.04825182098567956
GraphGA,rmse,9,0.6317791390124766,0.04806819989079132
GraphGA,rmse,10,0.6356048090309365,0.044778420591422154
GraphGA,calgap,1,0.08786874055980835,0.053042535610438535
GraphGA,calgap,2,0.07270693323458066,0.04120682904984696
GraphGA,calgap,3,0.06598353932578169,0.0443056092883426
GraphGA,calgap,4,0.06349296454283684,0.03967575119458694
GraphGA,calgap,5,0.05914894365279788,0.0429796232378593
GraphGA,calgap,6,0.06880069099466812,0.03700870472072757
GraphGA,calgap,7,0.0759343979155545,0.04159486972260166
GraphGA,calgap,8,0.08628547641490696,0.033911589826482846
GraphGA,calgap,9,0.08923528878072418,0.03772711705213773
GraphGA,calgap,10,0.09332133363954889,0.04030419615875147
