smiles,dock,qed,sa,method
O=c1[nH]c2ccccc2c(=O)c2cc3c(cc12)OOCO3,-10.901,0.635317720172976,2.7486216784397364,Independent-marginal PoMHI
O=c1[nH]c2ccccc2c(=O)c2ccccc12,-9.458,0.6336582224011142,1.7066681516992706,Independent-marginal PoMHI
O=c1c2cc(O)ccc2ccc2ccc(O)cc12,-9.821,0.6327682164135389,2.0213837517837696,Independent-marginal PoMHI
O=c1c2cc(O)ccc2ccc2cccc(O)c12,-9.845,0.6327682164135389,2.094689634136712,Independent-marginal PoMHI
O=c1c2ccccc2ccc2ccc(O)c(O)c12,-10.047,0.5919295837334139,2.0442434802905574,Independent-marginal PoMHI
O=c1c2ccccc2ccc2cccc(O)c12,-9.751,0.6343414100325222,1.8626832223429128,Independent-marginal PoMHI
O=c1cc(-c2ccccc2)c(=O)cc(-c2ccc(O)cc2)[nH]1,-10.0,0.7624201696983773,2.1103629176263183,Independent-marginal PoMHI
O=c1cc(-c2ccccc2)oc2cc(O)cc(O)c12,-9.908,0.700091545915688,2.096002789678364,Independent-marginal PoMHI
O=c1cc(-c2ccccc2)oc2ccccc12,-9.333,0.6307722261623975,1.647206889532864,Independent-marginal PoMHI
O=c1cc(CCc2ccccc2)oc2cc(O)ccc12,-9.264,0.7910641243645512,2.014555848441836,Independent-marginal PoMHI
O=c1oc(-c2ccc3c(c2)OCO3)nc2ccccc2c1=O,-10.455,0.6383703961894427,2.2744279244944483,Independent-marginal PoMHI
O=c1oc(-c2ccccc2)cc2ccccc12,-9.344,0.6307722261623975,1.6972191972251718,Independent-marginal PoMHI
Oc1ccc(CCc2ccccc2)c2ccccc12,-9.288,0.73106454477506,1.6389242182497945,Independent-marginal PoMHI
c1cc2cccc3ccccc3c-2c1,-8.774,0.4887269083817775,1.28674981646137,Independent-marginal PoMHI
c1ccc(CCc2ccccc2)cc1,-7.518,0.6814602021498523,1.014182862295245,Independent-marginal PoMHI
c1ccc2cc3ccccc3cc2c1,-8.573,0.4564102473768608,1.1426437625367925,Independent-marginal PoMHI
c1ccc2ccccc2c1,-6.753,0.5114311994891171,1.0,Independent-marginal PoMHI
